URL,content_id,rendering_app,publishing_app,document_type,format,schema_name,taxon_title,taxon_base_path,taxon_description
https://www.gov.uk/find-free-early-education,34409c2a-8c65-4910-bda8-3898403cb416,frontend,publisher,local_transaction,placeholder,placeholder,Childcare and early years,/alpha-taxonomy/childcare-and-early-years,
https://www.gov.uk/find-internship,0c9236a2-50a7-417d-a425-1a3b6b43d858,frontend,publisher,transaction,placeholder,placeholder,,,
https://www.gov.uk/find-nursery-school-place,63f0efad-5e31-4516-9a33-b12cf18e410f,frontend,publisher,local_transaction,placeholder,placeholder,Nurseries,/alpha-taxonomy/nurseries,
https://www.gov.uk/find-ofsted-inspection-report,a02fa764-c088-4e3c-958b-1627782e0610,frontend,publisher,transaction,placeholder,placeholder,Inspections,/alpha-taxonomy/inspections,
https://www.gov.uk/find-registered-childminder,2f2ee25a-30c8-4ded-a160-88783f978206,frontend,publisher,local_transaction,placeholder,placeholder,Childminders,/alpha-taxonomy/childminders,
https://www.gov.uk/find-school-in-england,b42359f2-d301-4dd8-8f3a-d461f823536a,frontend,publisher,transaction,placeholder,placeholder,School education from 5 to 18 years,/alpha-taxonomy/ca860c58-665d-491d-88ed-26bf2e76fe19-school-education-5-to-18,"Going to school, running a school, teaching and learning, alternatives to school."
https://www.gov.uk/find-sure-start-childrens-centre,6c0b86c0-95a7-4cb0-8965-b6c75f42602d,frontend,publisher,transaction,placeholder,placeholder,Children's centres,/alpha-taxonomy/children-s-centres,
https://www.gov.uk/find-traineeship,8eb9a882-4fb5-4283-a161-f75528b56dca,frontend,publisher,transaction,placeholder,placeholder,,,
https://www.gov.uk/foster-carers,668f7b53-8546-49be-80de-7685c5350653,frontend,publisher,guide,placeholder,placeholder,,,
https://www.gov.uk/free-school-transport,fdd55911-6fcc-4b9e-be9f-34e93298b691,frontend,publisher,answer,placeholder,placeholder,,,
https://www.gov.uk/funding-for-postgraduate-study,bcd1365f-8496-40f5-b9cf-06f2493e48c4,frontend,publisher,answer,placeholder,placeholder,,,
https://www.gov.uk/government/case-studies/beverley-and-steve-now-our-children-will-be-better-adults,5d2b7472-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,case_study,case_study,case_study,,,
https://www.gov.uk/government/case-studies/business-compact-signatories,5e29ea28-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,case_study,case_study,case_study,,,
